,playerName2,predicted_pointsBasedOnAverage,playerName,playerTeam,predicted_pointsBasedOnLastWeek
173,"Garcia, David",5.0,,,
174,"Garcia, Eric",4.0,,,
175,"Garcia, Kike",2.0,,,
176,"Garcia, Luis",0.0,,,
177,"Garcia, Raul",1.0,,,
178,"Garcia, Ruben",2.0,,,
179,"Garcia, Unai",2.0,,,
180,"Garcia-de-albeniz, Imanol",1.0,,,
181,"Garitano, Gaizka",0.0,,,
182,"Gasiorowski, Yarek",0.0,,,
183,Gavi,5.0,"Rubio, Miguel",Granada,3.0
184,Gaya,5.0,,,
185,"Gazzaniga, Paulo",5.0,,,
186,Gerard,4.0,,,
187,"Gil, David",2.0,,,
188,Gimenez,3.0,,,
189,"Gomez, Maxi",2.0,,,
190,"Gomez, Moi",4.0,,,
191,"Gomez, Unai",2.0,,,
192,"Gomis, Antonio",0.0,,,
193,"Gonzalez, Giovanni",4.0,,,
194,"Gonzalez, Inaki",0.0,,,
195,"Gozalbez, Pablo",0.0,,,
196,"Greenwood, Mason",5.0,,,
197,"Greif, D",0.0,,,
198,Griezmann,5.0,,,
199,Guaita,4.0,,,
200,"Guardiola, Sergi",2.0,,,
201,Gudelj,4.0,,,
202,"Guedes, Goncalo",2.0,,,
203,"Guerra, Javier",4.0,,,
204,"Guevara, Ander",5.0,,,
205,"Guiu, Marc",0.0,,,
206,"Guler, Arda",1.0,,,
207,"Gumbau, Gerard",4.0,,,
208,"Gundogan, Ilkay",5.0,"Callejon, Jose",Granada,2.0
209,Guridi,4.0,,,
210,Guruzeta,4.0,,,
211,Gutierrez,5.0,,,
212,"H, Luis",4.0,,,
213,"Haddadi, El",4.0,,,
214,"Hagi, Ianis",2.0,,,
215,Hermoso,5.0,,,
216,"Hernandez, Javi",4.0,,,
217,Herrando,2.0,,,
218,Herrera,1.0,,,
219,"Herrera, S",5.0,,,
220,"Herrera, Yangel",5.0,,,
221,"Herzog, Juan",2.0,,,
222,"Hongla, Martin",3.0,,,
223,Hugo,1.0,,,
224,"I, Martinez",2.0,,,
225,"Ibanez, Pablo",2.0,,,
226,Ibrahima,2.0,,,
227,"Iglesias, Juan",2.0,,,
228,Ilaix,2.0,,,
229,Imanol alguacil,0.0,,,
230,"Iranzo, Ruben",0.0,,,
231,Isco,6.0,,,
232,Isi,5.0,,,
233,Jagoba arrasate,0.0,"Ruiz, Sergio",Granada,3.0
234,Jailson,3.0,,,
235,"Januzaj, Adnan",1.0,,,
236,Jaume,0.0,,,
237,Javi,3.0,,,
238,Javier aguirre,0.0,,,
239,"Jong, De",5.0,,,
240,"Jordan, Joan",2.0,,,
241,Jorgensen,5.0,,,
242,"Jose, Willian",2.0,,,
243,Joselu,3.0,,,
244,"Jozwiak, Kamil",1.0,,,
245,Juan,2.0,,,
246,Juanlu,2.0,,,
247,Juanmi,2.0,,,
248,Kepa,3.0,,,
249,Kirian,5.0,,,
250,"Kochen, Diego",0.0,,,
251,Koke,4.0,,,
252,"Kostis, Ilias",0.0,,,
253,"Kouame, Rominigue",2.0,,,
254,Kounde,4.0,,,
255,"Kroos, Toni",4.0,,,
256,"Kubo, Take",5.0,,,
257,"La-torre, De",4.0,Ricard,Granada,2.0
258,"Lamela, E",2.0,,,
259,"Langa, Bruno",3.0,,,
260,"Larin, Cyle",2.0,,,
261,"Latasa, Juan",2.0,,,
262,Lato,2.0,,,
263,Ledesma,6.0,,,
264,Lejeune,5.0,,,
265,"Lekue, Inigo",3.0,,,
266,"Lemar, Thomas",2.0,,,
267,"Lemos, A",2.0,,,
268,Lewandowski,4.0,,,
269,"Lino, Samuel",3.0,,,
270,"Llabres, Javi",1.0,"Miquel-bosch, Adria",Granada,0.0
271,Loiodice,3.0,,,
272,"Lopez, David",5.0,,,
273,"Lopez, Diego",4.0,,,
274,"Lopez, Fermin",2.0,,,
275,"Lopez, Unai",3.0,,,
276,"Lopy, Dion",4.0,,,
277,Lozano,1.0,,,
278,Luka,1.0,,,
279,"Lukebakio, Dodi",3.0,,,
